AISLE,IG,HTS,PLANNING,ABC,UOM,CAT,COSTX,QTYVAR
14,IG45,HTS16,1/0,C,PR,CAT17,0.022701200405649862,-0.051958012074524135
16,IG45,HTS16,1/0,C,PR,CAT17,0.039906461161142576,-0.049439833923247724
15,IG45,HTS16,1/0,C,PR,CAT17,0.08056601787452021,-0.04161158445297541
15,IG45,HTS16,1/0,C,PR,CAT17,0.050568607508146235,-0.0486843804778648
15,IG45,HTS24,1/1,C,PR,CAT17,0.02640248602725424,-0.05197990927583958
16,IG45,HTS24,1/1,C,PR,CAT17,1.2024525343369528,0.059115541598080995
14,IG45,HTS24,1/1,B,PR,CAT17,0.13375976035364942,0.059115541598080995
15,IG45,HTS24,1/1,B,PR,CAT17,0.07520124900583862,0.2780875547525514
15,IG45,HTS24,1/1,B,PR,CAT17,0.08008113375667797,0.059115541598080995
15,IG45,HTS24,1/1,C,PR,CAT17,0.2576323842655571,0.059115541598080995
15,IG45,HTS24,1/1,C,PR,CAT17,0.30742938089306343,0.059115541598080995
15,IG45,HTS24,1/1,C,PR,CAT17,0.30290238696304983,0.6795398950692998
17,IG45,HTS24,1/1,C,PR,CAT17,0.044863373700586635,0.059115541598080995
12,IG45,HTS24,1/1,B,PR,CAT17,0.05568175226738579,0.059115541598080995
12,IG45,HTS24,1/1,B,PR,CAT17,0.03616225552893295,0.059115541598080995
14,IG45,HTS24,1/1,B,PR,CAT17,0.02640248602725424,-0.15985647155638946
15,IG45,HTS24,1/1,C,PR,CAT17,0.02640248602725424,-0.07226766629460127
16,IG45,HTS24,1/1,C,PR,CAT17,0.03616225552893295,0.059115541598080995
15,IG45,HTS24,1/1,C,PR,CAT17,-0.01751639220049079,-0.12336478556419694
12,IG45,HTS24,1/1,B,PR,CAT17,0.05080186751654643,0.059115541598080995
13,IG45,HTS24,1/1,B,PR,CAT17,0.03616225552893295,-0.045804898504883514
14,IG45,HTS24,1/1,B,PR,CAT17,0.03616225552893295,-0.040418186981283535
12,IG45,HTS24,1/1,B,PR,CAT17,0.03627979422858161,0.059115541598080995
13,IG45,HTS24,1/1,B,PR,CAT17,0.1062437436678661,0.059115541598080995
14,IG45,HTS24,1/1,B,PR,CAT17,0.03378109306956374,0.059115541598080995
15,IG45,HTS24,1/1,C,PR,CAT17,0.03378109306956374,-0.03211914768272911
15,IG45,HTS24,1/1,C,PR,CAT17,0.04377593997053977,0.2233445514639338
15,IG45,HTS24,1/1,C,PR,CAT17,0.05626948803053365,0.10604124401708404
13,IG45,HTS24,1/1,C,PR,CAT17,0.054726206172093915,-0.03795475183329575
12,IG45,HTS24,1/1,C,PR,CAT17,0.05626948803053365,0.059115541598080995
13,IG45,HTS24,1/1,C,PR,CAT17,0.03627979422858161,0.059115541598080995
13,IG45,HTS24,1/1,C,PR,CAT17,0.0037965312341833716,-0.07974556054382644
14,IG45,HTS24,1/1,C,PR,CAT17,0.02878364848662344,-0.06862178227557933
13,IG45,HTS24,1/1,C,PR,CAT17,0.03378109306956374,-0.0472391651910453
14,IG45,HTS24,1/1,C,PR,CAT17,0.2661613152159348,0.059115541598080995
14,IG45,HTS16,1/0,C,PR,CAT17,0.011068377127513193,-0.056457886944848504
16,IG45,HTS16,1/0,C,PR,CAT17,-0.9794178189297813,-0.11837222366427502
16,IG45,HTS16,1/0,C,PR,CAT17,0.002401556925929588,-0.05474990524224363
15,IG45,HTS16,1/0,B,PR,CAT17,0.019731161030709012,-0.051038329619275354
13,IG45,HTS16,1/0,C,PR,CAT17,0.07171037921170668,-0.042104271482572966
13,IG45,HTS16,1/0,B,PR,CAT17,0.021655439871523022,-0.050830306206778614
31,IG61,HTS6,1/1,C,BX,CAT14,1.0162784402597098,0.1686015481753162
31,IG61,HTS6,1/1,C,BX,CAT14,-0.0918421431902215,-0.15985647155638946
15,IG45,HTS24,1/1,C,PR,CAT17,0.03569182600845852,-0.049582165731798127
15,IG45,HTS24,1/1,C,PR,CAT17,0.07537688081683827,-0.043932687792412786
13,IG45,HTS24,1/1,C,PR,CAT17,-0.43170315884663507,-0.15985647155638946
13,IG45,HTS24,1/1,C,PR,CAT17,0.4942679004028223,0.059115541598080995
15,IG52,HTS119,1/1,B,PC,CAT16,0.024788262526469915,-0.056457886944848504
15,IG52,HTS119,1/1,B,PC,CAT16,0.03777647902971727,0.059115541598080995
15,IG52,HTS119,1/1,B,PC,CAT16,0.08290299237614662,0.606545574484257
18,IG52,HTS119,1/1,B,PC,CAT16,0.04361201553810995,0.059115541598080995
19,IG52,HTS119,1/1,B,PC,CAT16,0.006623102390513161,-0.15985647155638946
28,IG61,HTS6,1/1,C,BX,CAT14,0.12211199643174224,0.059115541598080995
28,IG61,HTS6,1/1,C,BX,CAT14,-0.05954725487555506,-0.15985647155638946
28,IG61,HTS6,1/1,C,BX,CAT14,-0.1503768805292037,-0.15985647155638946
17,IG52,HTS119,1/1,C,PR,CAT16,0.0304172927110642,-0.051049278219933075
11,IG67,HTS25,1/1,A,BX,CAT14,-0.11991939554397843,-0.055844765308015985
11,IG67,HTS25,1/1,A,BX,CAT14,0.10688325393912959,0.059115541598080995
37,IG14,HTS119,1/1,A,BX,CAT8,0.2315925961670907,0.059115541598080995
33,IG38,HTS61,1/1,C,SQFT,CAT8,0.15195201229344465,0.059115541598080995
2,IG38,HTS61,1/1,A,SQFT,CAT8,0.030323612550053326,-0.050567539790993245
2,IG38,HTS61,1/1,A,SQFT,CAT8,0.1516062642414936,0.059115541598080995
2,IG38,HTS61,1/1,A,SQFT,CAT8,0.272621674941248,0.059115541598080995
2,IG38,HTS61,1/1,A,SQFT,CAT8,0.15195201229344465,0.059115541598080995
32,IG38,HTS61,1/1,C,SQFT,CAT8,-0.08746425984358097,-0.15985647155638946
33,IG38,HTS61,1/1,C,SQFT,CAT8,0.15195201229344465,0.059115541598080995
2,IG38,HTS61,1/1,B,SQFT,CAT8,0.1543558076092187,-0.013397040558021885
