,AISLE,IG,HTS,PLANNING,ABC,UOM,CAT,COSTX,QTYVAR
269,13,IG53,HTS119,1/1,B,BX,CAT16,0.5862423555269431,-0.010629023632711468
270,13,IG53,HTS119,1/0,B,BX,CAT16,-2.003894169757067,-0.055812360116988854
271,13,IG53,HTS119,1/0,C,BX,CAT16,-0.13989393737763706,-0.038356655231885084
272,12,IG53,HTS119,1/1,A,BX,CAT16,0.15160167849934622,-0.03042821712848789
273,12,IG53,HTS50,1/1,B,BX,CAT16,-0.5607464289204691,-0.09590353676966444
274,12,IG53,HTS119,1/1,C,PC,CAT16,0.07891711601952454,-0.027920465297440987
275,12,IG53,HTS119,1/0,C,PC,CAT16,-0.013690319448101567,-0.03909036428289007
276,17,IG56,HTS119,1/1,C,PC,CAT17,0.11845616671501817,-0.025182744957870134
277,17,IG56,HTS119,1/1,C,PC,CAT17,0.20554456641223037,0.009498696303813454
278,17,IG56,HTS119,1/1,C,PC,CAT17,0.28684734445336385,-0.022138399940267343
279,18,IG56,HTS119,1/1,C,PC,CAT17,-0.05148587943214009,-0.0382142937742274
280,2,IG56,HTS119,1/1,C,PC,CAT17,-0.05314097309565734,-0.14381364271215438
281,2,IG56,HTS119,1/1,C,PC,CAT17,-0.3908343274582088,-0.10274783761859158
282,17,IG56,HTS119,1/1,C,PC,CAT17,0.20012905852559545,-0.006927625733611673
283,19,IG56,HTS119,1/1,C,PC,CAT17,-0.09935675869548298,-0.04799343082717449
284,18,IG56,HTS119,1/1,B,PC,CAT17,-0.0994083007466234,-0.14381364271215438
285,23,IG56,HTS119,1/1,B,PC,CAT17,0.16197304230281057,-0.029924476586006853
286,23,IG56,HTS119,1/1,B,PC,CAT17,-0.0994083007466234,-0.04647125831837309
287,18,IG56,HTS119,1/1,B,PC,CAT17,0.2742804456514641,-0.028687026992520827
288,2,IG56,HTS119,1/1,B,PC,CAT17,-0.09405788081304815,-0.07080411669647886
